[2025-12-10 05:45:04] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9996
[2025-12-11 01:50:05] MALICIOUS DETECTED | URL: https://github.com/Evaaa1408/IDS_implementation/branches | Confidence: 1.0000
[2025-12-11 01:50:05] MALICIOUS DETECTED | URL: https://github.com/Evaaa1408/IDS_implementation/branches | Confidence: 1.0000
[2025-12-11 01:50:05] MALICIOUS DETECTED | URL: https://github.com/Evaaa1408/IDS_implementation/branches | Confidence: 1.0000
[2025-12-11 01:50:05] MALICIOUS DETECTED | URL: https://github.com/Evaaa1408/IDS_implementation/branches | Confidence: 1.0000
[2025-12-11 01:50:08] MALICIOUS DETECTED | URL: https://github.com/Evaaa1408/IDS_implementation | Confidence: 1.0000
[2025-12-11 01:50:12] MALICIOUS DETECTED | URL: https://github.com/ | Confidence: 1.0000
[2025-12-11 02:37:35] MALICIOUS DETECTED | URL: https://lms2.apiit.edu.my/?redirect=0 | Confidence: 0.9999
[2025-12-11 02:37:47] MALICIOUS DETECTED | URL: https://claude.ai/ | Confidence: 1.0000
[2025-12-11 02:37:49] MALICIOUS DETECTED | URL: https://claude.ai/new | Confidence: 1.0000
[2025-12-11 03:43:27] MALICIOUS DETECTED | URL: https://chatgpt.com/ | Confidence: 1.0000
[2025-12-11 03:43:35] MALICIOUS DETECTED | URL: https://chatgpt.com/c/693287fa-1600-8320-8bc1-7cc7ded4f9df | Confidence: 1.0000
[2025-12-11 05:52:23] MALICIOUS DETECTED | URL: https://lms2.apiit.edu.my/?redirect=0 | Confidence: 0.9999
[2025-12-11 16:05:53] MALICIOUS DETECTED | URL: https://chatgpt.com/ | Confidence: 1.0000
[2025-12-11 16:05:53] MALICIOUS DETECTED | URL: https://chatgpt.com/ | Confidence: 1.0000
[2025-12-11 16:06:08] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-11 16:53:53] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-11 17:02:58] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-11 17:03:54] MALICIOUS DETECTED | URL: https://lms2.apiit.edu.my/?redirect=0 | Confidence: 0.9999
[2025-12-11 17:05:30] MALICIOUS DETECTED | URL: https://claude.ai/upgrade?hide_free=true | Confidence: 1.0000
[2025-12-11 17:05:51] MALICIOUS DETECTED | URL: https://claude.ai/upgrade/pro | Confidence: 1.0000
[2025-12-11 17:15:23] MALICIOUS DETECTED | URL: https://malaysia.search.yahoo.com/search?fr=mcafee-malaysia&type=E210MY885G0&p=maybank | Confidence: 1.0000
[2025-12-11 22:53:56] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-11 22:57:46] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-11 22:57:50] MALICIOUS DETECTED | URL: https://lms2.apiit.edu.my/?redirect=0 | Confidence: 0.9999
[2025-12-11 22:57:59] MALICIOUS DETECTED | URL: https://apspace.apu.edu.my/tabs/dashboard | Confidence: 0.9998
[2025-12-11 22:58:00] MALICIOUS DETECTED | URL: https://apspace.apu.edu.my/tabs/dashboard | Confidence: 0.9998
[2025-12-11 22:58:12] MALICIOUS DETECTED | URL: https://www.instagram.com/ | Confidence: 0.9994
[2025-12-11 22:58:20] MALICIOUS DETECTED | URL: https://chatgpt.com/ | Confidence: 1.0000
[2025-12-11 22:58:30] MALICIOUS DETECTED | URL: https://web.whatsapp.com/ | Confidence: 0.9999
[2025-12-12 01:28:36] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-12 01:30:02] MALICIOUS DETECTED | URL: https://www.youtube.com/ | Confidence: 0.9997
[2025-12-12 01:30:20] MALICIOUS DETECTED | URL: https://chatgpt.com/ | Confidence: 1.0000
