feature,importance
uses_https,0.88627243
subdomain_depth,0.047907345
domain_trust_score,0.022178406
suspicious_keyword_flag,0.008227483
is_slug_like,0.003731765
num_at,0.0036661017
SuspiciousTLD,0.0031305116
tld_length,0.0029569133
num_equal,0.0026710678
num_dots,0.001946589
contains_ip,0.0018305775
num_slashes,0.0014685194
TyposquattingScore,0.001354215
digit_ratio,0.0013269942
num_hyphens,0.0012554337
domain_entropy,0.0011823499
CharacterSubstitutions,0.0011207501
hostname_length,0.001046222
num_special_char,0.0008909084
url_length,0.00087938487
hostname_ratio,0.00072369684
Combosquatting,0.0006830291
path_length,0.000636878
url_entropy,0.0006103327
path_entropy,0.0004777455
NumberLetterMixing,0.00040129613
path_ratio,0.0003499883
ExcessiveHyphens,0.00031733647
letter_ratio,0.00030212355
num_percent,0.00029531645
LowVowelRatio,0.00015831515
KnownTyposquatting,0.0
HomographChars,0.0
RepeatedCharacters,0.0
