feature,importance
NoOfExternalRef,0.19821100499847452
NoOfSelfRef,0.18091819659923056
LineOfCode,0.15557345984864254
NoOfImage,0.10390343567143816
NoOfJS,0.0776425066066626
HasSocialNet,0.06635233415153528
NoOfCSS,0.047375846271989486
HasCopyrightInfo,0.04171445328222483
HasDescription,0.041568179193402714
DomainTitleMatchScore,0.02205484784880981
LargestLineLength,0.02179377727079407
URLTitleMatchScore,0.010269711124543997
HasSubmitButton,0.008996565367914823
NoOfEmptyRef,0.008128830323985346
IsResponsive,0.0037407973880152832
NoOfiFrame,0.0028035320923237303
HasPasswordField,0.0022622629225680126
HasHiddenFields,0.0019249864098626979
HasFavicon,0.0018365503017424823
Bank,0.0006064104469941684
NoOfURLRedirect,0.000580083142298209
HasTitle,0.00047552198317898486
Robots,0.0004608598960547272
Pay,0.00032994185819412735
NoOfPopup,0.00022065118387905018
Crypto,0.00016497749990700264
HasExternalFormSubmit,7.069027385224339e-05
NoOfSelfRedirect,1.9586041480502168e-05
