feature,importance
path_length,0.14815903
num_slashes,0.13738215
path_ratio,0.13605449
uses_https,0.12205178
contains_ip,0.08315087
path_entropy,0.05644405
num_special_char,0.046521727
digit_ratio,0.04454762
num_hyphens,0.039449822
hostname_ratio,0.03132402
letter_ratio,0.023345299
url_entropy,0.021536594
domain_trust_score,0.016813967
subdomain_depth,0.011250533
num_equal,0.010958429
domain_entropy,0.010782933
url_length,0.009531286
SuspiciousTLD,0.009256459
ExcessiveHyphens,0.0085513685
tld_length,0.0070391544
hostname_length,0.006321818
num_dots,0.006143445
CharacterSubstitutions,0.004234334
LowVowelRatio,0.00335705
NumberLetterMixing,0.0023570836
Combosquatting,0.001344185
TyposquattingScore,0.0010837644
suspicious_keyword_flag,0.0010067783
num_at,0.0
num_percent,0.0
HomographChars,0.0
KnownTyposquatting,0.0
RepeatedCharacters,0.0
